mz/RT,target,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,LL 1,LL 2,LL 3,LL 4,LL 5,LL 6,LL 7,LL 8,LL 9,LL 10,LL 11,LL 12,LL 13,LL 14,LL 15,LL 16,LL 17,LL 18,LL 19,BL 1,BL 2,BL 3,BL 4,BL 5,BL 6,BL 7,BL 8,BL 9,BL 10,BL 11,BL 12,BL 13,BL 14,BL 15,WWTP 1,WWTP 2,WWTP 3,WWTP 4,WWTP 5,WWTP 6,WWTP 7,WWTP 8,WWTP 9,WWTP 10,WWTP 11,WWTP 12,WWTP 13,WWTP 14,WWTP 15,WWTP 16,WWTP 17,WWTP 18,WWTP 19,PP 1,PP 2,PP 3,PP 4,PP 5,PP 6,PP 7,PP 8,PP 9,PP 10,PP 11,PP 12,PP 13,PP 14,PP 15,PP 16,PG 1,PG 2,PG 3,PG 4,PG 5,PG 6,PG 7,PG 8
953.27361/11.01,-,0,0,0,0,0,1921941.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.10736/7.81,-,139631.1269,3729.540828,3618.184779,9436.763608,3537.407947,0,62081.42696,887527,3654.801111,1911616.789,7394,2377.05689,2254,1507406,6206.143144,28523,8010.5,17101.1919,607394.3664,21676.5161,10169.46238,10226.4553,80537.22938,15270.15276,243322.5901,53417.17883,20105.43785,44802.70776,56701.56309,32047.65872,0,28446.4043,47658.75026,24305.7407,552704.4855,210302.4038,5062.080011,8446.242234,631587.0704,4822.762116,17186.76498,37655.51517,68568.33577,42783.05918,15576.08363,109058.296,126062.6072,6747.273695,5320.265117,2253,22103.99189,4734.463779,6715.043245,6130.591877,22816.74166,8390.148421,118937.9565,8896.762188,13603,8355.270797,22359.24064,538015.2069,8394.131508,19937.42069,0,6049.403409,6105.776983,28665.32434,2233.950627,1472.687527,1526.21679,0,2478.239696,2172.045117,2782.439412,3276.526458,2864.259671,7415.428491,41018.45241,3461.028895,2658.888547,1400.169619,2464.036843,15098.87188,2734.751506,3569.149057,3651.503199,50835.71741,2901.527857,2169.088109,3652.525102,3416.334123
498.929359/11.15,117 (M-H),0,0,10027.75392,143794.3921,0,17491.5,1643492.215,1860197,1075397.405,695985.6434,0,0,543647.5,441058.5,16382.97844,1785,0,0,2611.19899,0,1852.487719,0,5379.823342,3223.334967,4617.221155,0,2214.606017,0,0,0,0,5696.601794,0,4951.901983,0,0,0,0,2167.767716,0,1047.549938,1304.899695,1586.187678,0,2537.192107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.001641/7.52,-,0,0,0,0,0,0,0,0,0,15308.11742,0,0,0,0,2050.417621,169166,0,45483.97173,269515.7461,147263.7089,34897.1064,105485.3039,1805464.272,6663.674385,130355.5249,83811.6706,133869.1494,96059.7203,284879.4469,138790.9851,157360.7081,370080.0787,314372.513,180888.6977,0,1300.534894,946.1028882,0,0,0,716.9869455,0,1596.392343,5718.50741,2732.976919,5365.370488,3747.767037,0,866.4458554,3526,3550.66996,1746.993413,2461.036332,0,1902.028135,2540.65277,1905.275489,0,0,2504.412364,0,1748.483724,0,6082.273563,0,54482.5,6446.895552,2211.700101,0,0,0,0,577.8008152,0,0,0,1372.020456,0,0,0,0,0,0,0,2051.310448,1055.732752,707.2527854,1105.765232,961.2156741,0,0,1309.316854
498.929561/11.43,117 (M-H),38858.63465,474728.9023,10445.30057,176436.5813,2136.176215,32300,0,0,1026616.988,1763711.753,0,57607.37871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8778.496309,0,3071.344223,0,2683.327721,0,0,0,1276.858758,1969.636504,0,0,0,18690.16593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150.777606,940.6643522,0,0,0,0,0,0,1437.37748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412.965695/10.3,104 (M-H),0,35705.03212,1750.627565,0,0,0,17677.37661,47364,0,0,14392.5,0,934467,363684,1702498.226,3658,0,0,0,8075.333921,0,7954.797986,9198.17721,0,6683.504457,0,0,11651.24919,6163.943618,8758.378142,0,7137.910682,9770.296709,9384.878147,0,0,5612.988957,0,0,0,119730.7526,0,0,0,0,57984.92056,18410.79792,0,13451.16556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4620.50103,4033.768786,2359.480135,2386.084494,1235.779119,3601.417458,0,1426.751061,5225.461078,0,0,941.4028491,0,5636.102207,0,0,0,1089.455282,0,1586.084688,1088.314579,0,2325.844894,0
298.942577/7.31,113 (M-H),5877.748299,108555.5505,88274.42057,156190.6019,2357.751834,6138,276530.773,704645,753833.5058,1644696.407,0,17995.43068,1139107,308868,673046.928,10540,0,1864.260053,9223.428692,0,3386.004043,0,7899.679767,79702.04951,43488.88026,14099.19124,19683.74856,3776.431778,6785.376625,30101.35247,9474.053724,36796.84468,33781.60038,5547.619514,0,0,0,0,0,1485.835873,0,0,0,0,0,18544.94382,0,2836.61362,0,4505.5,3180.841574,0,0,0,0,0,0,0,0,0,0,0,4787.763897,0,0,0,0,0,995.4153718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16247.11275
397.951243/11.28,124 (M-H),6909.561524,19099.32099,460724.7889,1453814.375,2909.350294,0,1343983.743,1566181,1292601.516,620473.9898,47486,25131.60147,1640716,1345009,424550.6547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2473.153408,0,0,0,0,0,0,0,0,0,0,2127.073891,2793.79709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217.104915,0,0,0
209.084931/8.23,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3971,0,0,74593.95309,0,0,3144.229556,0,0,30455.21911,6013.439034,6699.846699,0,50565.61195,0,0,0,47555.95656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46566.08455,0,0,0,0,0,0,0,0,0,0,0,0,0,1156.982782,0,0,0,0,0,0,0,0,6147.015588,0,0,0,0,0,6753.956745,1356.693818,132004.4952,0,1008.384236,0,46895.81444,10545.13371,0,0,0,0,0,0,0,0
279.232289/17.37,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3325.5,0,10294.8215,47763.88347,11566.89281,16480.18876,6107.434634,0,44600.55611,7146.881491,20218.6201,9348.920475,12143.96912,8721.056467,1616560.999,12670.65644,0,5059.734485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378.40342,0,22517,0,0,0,20566.12364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945.4037488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
